courseId,courseName,courseCode,tournamentId,courseParTotal,courseYardsTotal,hole,par,yards,scoringAverage,scoringAverageDiff,scoringDiffTendency,eagles,birdies,pars,bogeys,doubleBogey,rank,pinGreenLeftToRightCoords,pinGreenBottomToTopCoords
934,Hurstbourne Country Club (Championship Course),HB,R2025518,70,7056.0,12,4,382,3.859,-0.141,BELOW,2,116,277,47,5,15,"(0.4136238711288276, 0.33773830011537237, -1.0)","(0.33773830011537237, 0.5863761288711724, -1.0)"
934,Hurstbourne Country Club (Championship Course),HB,R2025518,70,7056.0,13,3,186,3.116,0.116,ABOVE,0,43,315,86,1,9,"(0.7149101767441316, 0.5461369621905356, -1.0)","(0.5461369621905356, 0.2850898232558684, -1.0)"
934,Hurstbourne Country Club (Championship Course),HB,R2025518,70,7056.0,14,4,438,4.163,0.163,ABOVE,1,53,278,102,13,7,"(0.6523042198447413, 0.4604551390774455, -1.0)","(0.4604551390774455, 0.3476957801552587, -1.0)"
934,Hurstbourne Country Club (Championship Course),HB,R2025518,70,7056.0,15,4,377,3.998,-0.002,BELOW,0,91,289,49,14,12,"(0.4395598925423396, 0.3773115342007848, -1.0)","(0.3773115342007848, 0.5604401074576604, -1.0)"
934,Hurstbourne Country Club (Championship Course),HB,R2025518,70,7056.0,16,4,446,3.96,-0.04,BELOW,0,82,301,64,0,13,"(0.4677486761653643, 0.7220844023379771, -1.0)","(0.7220844023379771, 0.5322513238346357, -1.0)"
934,Hurstbourne Country Club (Championship Course),HB,R2025518,70,7056.0,17,3,216,3.293,0.293,ABOVE,0,34,268,127,16,3,"(0.5528375926990513, 0.27075725226931774, -1.0)","(0.27075725226931774, 0.4471624073009487, -1.0)"
934,Hurstbourne Country Club (Championship Course),HB,R2025518,70,7056.0,18,4,481,4.221,0.221,ABOVE,0,51,262,119,14,5,"(0.6189682617778642, 0.5697020180964959, -1.0)","(0.5697020180964959, 0.38103173822213576, -1.0)"
665,Innisbrook Resort (Copperhead Course),WI,R2025475,71,7352.0,1,5,560,4.657,-0.343,BELOW,9,184,228,34,5,18,"(0.5449107654919846, 0.7255834772323897, -1.0)","(0.7255834772323897, 0.4550892345080154, -1.0)"
665,Innisbrook Resort (Copperhead Course),WI,R2025475,71,7352.0,2,4,435,4.102,0.102,ABOVE,0,70,290,85,13,7,"(0.42334097027190076, 0.36980799128843866, -1.0)","(0.36980799128843866, 0.5766590297280992, -1.0)"
665,Innisbrook Resort (Copperhead Course),WI,R2025475,71,7352.0,3,4,455,4.196,0.196,ABOVE,1,22,332,96,9,3,"(0.6147810228285883, 0.5480419621464359, -1.0)","(0.5480419621464359, 0.38521897717141174, -1.0)"
665,Innisbrook Resort (Copperhead Course),WI,R2025475,71,7352.0,4,3,195,3.046,0.046,ABOVE,0,50,340,69,1,12,"(0.499356043509644, 0.3460634847384592, -1.0)","(0.3460634847384592, 0.500643956490356, -1.0)"
665,Innisbrook Resort (Copperhead Course),WI,R2025475,71,7352.0,5,5,605,4.92,-0.08,BELOW,1,104,289,63,3,15,"(0.5885118017227546, 0.4313233171396148, -1.0)","(0.4313233171396148, 0.41148819827724537, -1.0)"
665,Innisbrook Resort (Copperhead Course),WI,R2025475,71,7352.0,6,4,465,4.093,0.093,ABOVE,0,62,301,89,8,9,"(0.5518012606880341, 0.3231256391983689, -1.0)","(0.3231256391983689, 0.44819873931196585, -1.0)"
665,Innisbrook Resort (Copperhead Course),WI,R2025475,71,7352.0,7,4,420,4.096,0.096,ABOVE,0,55,317,78,9,8,"(0.4382736135551459, 0.7561739570708873, -1.0)","(0.7561739570708873, 0.5617263864448541, -1.0)"
665,Innisbrook Resort (Copperhead Course),WI,R2025475,71,7352.0,8,3,235,3.185,0.185,ABOVE,0,43,295,116,6,4,"(0.4737508259536668, 0.6057280071903425, -1.0)","(0.6057280071903425, 0.5262491740463332, -1.0)"
