tournament,tournament_id,player,player_id,round,hole,shot_number,shot_dist,to_hole,location,par,hole_yardage
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,8,2,72 ft 11 in.,31 ft 2 in.,Right Green,3,236
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,8,3,30 ft 0 in.,15 in,Left Green,3,236
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,8,4,15 in,0,In Hole,3,236
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,9,1,326 yds,256 yds,Right Intermediate,5,601
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,9,2,245 yds,41 ft 5 in.,Right Rough,5,601
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,9,3,43 ft 6 in.,2 ft 1 in.,Right Green,5,601
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,9,4,2 ft 1 in.,0,In Hole,5,601
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,10,1,275 yds,144 yds,Left Bunker,4,419
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,10,2,145 yds,17 ft 3 in.,Left Fairway,4,419
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,10,3,16 ft 5 in.,10 in,Right Green,4,419
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,10,4,10 in,0,In Hole,4,419
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,11,1,308 yds,238 yds,Left Fairway,5,573
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,11,2,250 yds,49 ft 3 in.,Left Bunker,5,573
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,11,3,8 ft 6 in.,42 ft 2 in.,Left Intermediate,5,573
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,11,4,44 ft 11 in.,4 ft 4 in.,Right Green,5,573
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,11,5,4 ft 4 in.,0,In Hole,5,573
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,12,1,310 yds,71 ft 0 in.,Left Water,4,365
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,12,2,Penalty,0,Primary Rough,4,365
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,12,3,46 yds,11 ft 1 in.,Right Green,4,365
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,12,4,11 ft 1 in.,0,In Hole,4,365
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,13,1,167 yds,66 ft 0 in.,Right Green,3,183
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,13,2,44 ft 1 in.,22 ft 7 in.,Right Green,3,183
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,13,3,24 ft 10 in.,2 ft 0 in.,Right Green,3,183
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,13,4,2 ft 0 in.,0,In Hole,3,183
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,14,1,303 yds,180 yds,Left Fairway,4,485
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,14,2,176 yds,53 ft 4 in.,Right Green,4,485
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,14,3,50 ft 10 in.,3 ft 8 in.,Left Green,4,485
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,14,4,3 ft 8 in.,0,In Hole,4,485
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,15,1,307 yds,157 yds,Right Bunker,4,470
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,15,2,149 yds,27 ft 2 in.,Right Green,4,470
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,15,3,32 ft 10 in.,5 ft 4 in.,Left Green,4,470
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,15,4,7 ft 6 in.,2 ft 0 in.,Right Green,4,470
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,15,5,2 ft 0 in.,0,In Hole,4,470
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,16,1,263 yds,261 yds,Right Rough,5,537
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,16,2,172 yds,104 yds,Left Rough,5,537
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,16,3,115 yds,32 ft 1 in.,Left Green,5,537
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,16,4,32 ft 7 in.,16 in,Left Green,5,537
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,16,5,16 in,0,In Hole,5,537
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,17,1,133 yds,60 ft 0 in.,Left Fairway,3,141
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,17,2,63 ft 7 in.,4 ft 5 in.,Right Green,3,141
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,17,3,4 ft 5 in.,0,In Hole,3,141
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,18,1,344 yds,134 yds,Right Tree Outline,4,462
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,18,2,146 yds,38 ft 0 in.,Left Bunker,4,462
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,18,3,35 ft 5 in.,3 ft 8 in.,Right Green,4,462
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,18,4,3 ft 8 in.,0,In Hole,4,462
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,4,1,1,274 yds,136 yds,Right Rough,4,424
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,4,1,2,91 yds,46 yds,Left Fairway,4,424
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,4,1,3,45 yds,19 in,Right Green,4,424
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,4,1,4,19 in,0,In Hole,4,424
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,4,2,1,277 yds,269 yds,Left Rough,5,555
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,4,2,2,153 yds,123 yds,Left Intermediate,5,555
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,4,2,3,116 yds,19 ft 11 in.,Left Green,5,555
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,4,2,4,21 ft 9 in.,17 in,Left Green,5,555
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,4,2,5,17 in,0,In Hole,5,555
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,4,3,1,175 yds,37 ft 3 in.,Right Green,3,182
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,4,3,2,39 ft 7 in.,23 in,Left Green,3,182
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,4,3,3,23 in,0,In Hole,3,182
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,4,4,1,269 yds,102 yds,Right Rough,4,387
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,4,4,2,109 yds,54 ft 9 in.,Right Rough,4,387
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,4,4,3,68 ft 2 in.,17 ft 7 in.,Left Green,4,387
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,4,4,4,16 ft 11 in.,7 in,Right Green,4,387
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,4,4,5,7 in,0,In Hole,4,387
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,4,5,1,325 yds,131 yds,Left Fairway,4,469
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,4,5,2,131 yds,14 in,Left Green,4,469
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,4,5,3,14 in,0,In Hole,4,469
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,4,6,1,286 yds,130 yds,Right Fairway,4,413
